id,wapuu.name,wapuu.repository,wapuu.url,wapuu.src,wapuu.mime_type,author.name,author.url,description
wapuussoa,Wapuussoa,https://github.com/pedro-mendonca/Wapuussoa,https://2019.lisboa.wordcamp.org/,https://raw.githubusercontent.com/pedro-mendonca/Wapuussoa/master/images/2019.lisboa.wordcamp.org-wapuussoa.png,image/png,Pedro Mendonça,https://pedromendonca.pt,Wapuussoa - WordCamp Lisboa 2019
atlanta-wapuu-2019,Atlanta Wapuu 2019,https://github.com/sbddesign/atlanta-wapuu,https://2019.atlanta.wordcamp.org/,https://raw.githubusercontent.com/sbddesign/atlanta-wapuu/master/2019/WordCamp-Atlanta-2019-Wapuu.png,image/png,Stephen DeLorme,https://d.elor.me,Wapuu for WordCamp Atlanta 2019
wapuutinger,Wapuutinger,https://github.com/code-flow/wapuutinger,https://github.com/code-flow/wapuutinger,https://raw.githubusercontent.com/code-flow/wapuutinger/master/wapuutinger.png,image/png,Florian Simeth,https://florian-simeth.de,Wapuutinger created for an article in a German magazine
wapuu-the-great,Wapuu the Great,https://github.com/rudrastyh/wapuu-the-great,http://2019.saintpetersburg.wordcamp.org,https://raw.githubusercontent.com/rudrastyh/wapuu-the-great/master/img/wapuu-the-great-clothes.png,image/png,Misha Rudrastyh,https://rudrastyh.com,Wapuu the Great created for WordCamp Saint Petersburg 2019
wapuu-ka,Wapuu-ka,https://github.com/kristarella/wapuu,,https://github.com/kristarella/wapuu/raw/gh-pages/wapuu-archive/wapuu-ka.png,image/png,Kristen Symonds,https://kristarella.com,Karate Wapuu
wca-wapuu-2020,Tuk-Tuk Wapuu,https://github.com/ChiakiKouno/tuktuk-wapuu,https://2020.asia.wordcamp.org/,https://raw.githubusercontent.com/ChiakiKouno/tuktuk-wapuu/master/tuktuk-wapuu.png,image/png,Chiaki Kouno,https://twitter.com/chiaki_kouno,Wapuu for WordCamp Asia 2020
wapusardu,wapusardu,https://github.com/Ellusu/Wapusardu,https://www.meetup.com/it-IT/Cagliari-WordPress-Meetup/,https://raw.githubusercontent.com/ellusu/Wapusardu/master/Wapusardu.png,image/png,Matteo Enna,https://matteoenna.it,Cagliari WordPress Meetup
wapuu-lux,Duchess Roude Léiweli,https://github.com/stephanie-walter/wapuu-luxembourg/,https://www.meetup.com/fr-FR/WordPress-Meetup-Luxembourg/,https://raw.githubusercontent.com/stephanie-walter/wapuu-luxembourg/master/wapuu-lux.png,image/png,Stéphanie Walter,https://stephaniewalter.design/,Wapuu for the WordPress community meetups in Luxembourg
star-seeing-squirrel-wapuu,星見るリスわぷー,https://github.com/codeformm/mitaka-kichijoji-wapuu,https://www.meetup.com/ja-JP/Tokyo-WordPress-Meetup,https://raw.githubusercontent.com/codeformm/mitaka-kichijoji-wapuu/main/mitaka-kichijoji-wapuu.png,image/png,ishimasar,https://github.com/ishimasar,Mitaka Kichijoji WordPress Meetup character
accessipuu-wapuu,Accessipuu,https://github.com/joesimpsonjr/wapuu,https://www.meetup.com/WordPress-San-Fernando-Valley-Meetup/events/273555943/,https://github.com/joesimpsonjr/wapuu/blob/main/accessipuu-wapuu.png?raw=1,image/png,Joe A Simpson Jr,https://joesimpson.info,"Wapuu was discovered for the San Fernando Valley (California) WordPress Community and a three-Meetup event celebrating the first WordPress Accessibility Day, Oct 2-3, 2020. A hero for Accessibility, it fights trolls and advocates for good #a11y."
bleepuu-wapuu,Bleepuu,https://github.com/joesimpsonjr/wapuu,https://santaclarita.wordcamp.org,https://github.com/joesimpsonjr/wapuu/blob/main/bleepuu-wapuu.png?raw=1,image/png,Joe A Simpson Jr,https://joesimpson.info,"Not seen since 1972 on the grounds of Six Flags Magic Mountain amusement park, this Wapuu was rediscovered in the spring for WordCamp Santa Clarita Online. Celebrating the youthful innocence and pure fun of towering and terrifying roller coasters, cotton candy, water rides, and games of chance in Santa Clarita."
prongaloop-wapuu,Accessipuu,https://github.com/joesimpsonjr/wapuu,https://santaclarita.wordcamp.org/2019/,https://github.com/joesimpsonjr/wapuu/blob/main/prongaloop-wapuu.png?raw=1,image/png,Joe A Simpson Jr,https://joesimpson.info,"In the late 1800’s, these beautiful, graceful, and mysterious creatures were once plentiful throughout the northern plains of Los Angeles County. Bad weather, the fur trade, and magic hunters pushed Prongaloops towards extinction in Santa Clarita and Antelope Valleys. Recently, reported yet unconfirmed sightings around Magic Mountain, Vasquez Rocks, and grazing along the Grapevine during spring California Poppy season of these Wapuus have sparked a viral sensation on the Internets. Visit WordCamp Santa Clarita spring 2019 to see it for yourself."
